No,Student ID,Fullname,DoB,Class,Gender
1,19127001,Trinh Van Minh,2001 05 01,19APCS1,Nam
2,19127002,Nguyen Van 2,2001 05 02,19APCS1,Nam
3,19127003,Nguyen Van 3,2001 05 03,19APCS1,Nam
4,19127004,Nguyen Van 4,2001 05 04,19APCS1,Nam
5,19127005,Nguyen Van 5,2001 05 05,19APCS1,Nam
6,19127006,Nguyen Van 6,2001 05 06,19APCS1,Nam
7,19127007,Nguyen Van 7,2001 05 07,19APCS1,Nu
8,19127008,Nguyen Van 8,2001 05 08,19APCS1,Nu
9,19127009,Nguyen Van 9,2001 05 09,19APCS1,Nu
10,19127010,Nguyen Van 10,2001 05 10,19APCS1,Nu
